category_label,category_url,product_label,product_price,product_img,images
Измерители-регуляторы,https://owen.ru/catalog/izmeriteli_regulyatori," искробезопасный датчик давления для вязких, загрязнённых сред","5940,00",https://owen.ru/thumbs/179/pd100i_141-exi___1c78f1c7-132x132xcxm-ci.jpg,
Измерители-регуляторы,https://owen.ru/catalog/izmeriteli_regulyatori," искробезопасный датчик давления для вязких, загрязнённых сред","4800,00",https://owen.ru/thumbs/179/pd100i-121-exi___ced8a3bc-132x132xcxm-ci.png,
Измерители-регуляторы,https://owen.ru/catalog/izmeriteli_regulyatori, коммутатор сетевой неуправляемый,"204,00",https://owen.ru/thumbs/182/ksn210_iso_n___caafb0bf-132x132xcxm-ci.png,
Измерители-регуляторы,https://owen.ru/catalog/izmeriteli_regulyatori,Электроразъём ,"29940,00",https://owen.ru/thumbs/181/rk-1-v-sbore___ec9562b6-132x132xcxm-ci.png,
Измерители-регуляторы,https://owen.ru/catalog/izmeriteli_regulyatori, контроллер для средних и распределенных систем автоматизации,"600,00",https://owen.ru/thumbs/181/plk210_v1___b6e79ccf-132x132xcxm-ci.png,
Измерители-регуляторы,https://owen.ru/catalog/izmeriteli_regulyatori," терморегулятор с мощным реле, крупным индикатором и прямым доступом к OwenCloud","1680,00",https://owen.ru/thumbs/176/shtuczer-shp-m20h1_5-4_5-v-sbore___6d33acbb-132x132xcxm-ci.png,
Измерители-регуляторы,https://owen.ru/catalog/izmeriteli_regulyatori, твердотельные реле в стандартном корпусе для коммутации мощной нагрузки,"2040,00",https://owen.ru/thumbs/176/shv-sbore___b227dc21-132x132xcxm-ci.png,
Измерители-регуляторы,https://owen.ru/catalog/izmeriteli_regulyatori, механическое реле давления для систем тепло- и водоснабжения,"1260,00",https://owen.ru/thumbs/177/trm500_2_indikatora_wifi___f3b909c5-132x132xcxm-ci.png,
Измерители-регуляторы,https://owen.ru/catalog/izmeriteli_regulyatori, механическое реле давления для систем вентиляции и кондиционирования ,"1500,00",https://owen.ru/thumbs/175/foto-hdh12044za2_new___43124322-132x132xcxm-ci.png,
Измерители-регуляторы,https://owen.ru/catalog/izmeriteli_regulyatori,Модуль измерения параметров трехфазной электрической сети ,"1560,00",https://owen.ru/thumbs/174/rd50-di14___9448f8c8-132x132xcxm-ci.png,
Измерители-регуляторы,https://owen.ru/catalog/izmeriteli_regulyatori, локальная панель оператора для ОВЕН ПЧВ1/ПЧВ2 со встроенной точкой Wi-Fi,"9900,00",https://owen.ru/thumbs/160/rd30_1___8c6bf1bf-132x132xcxm-ci.png,
